,Longitude,Latitude,cluster,centroids
331,78.0203867,15.0781067,0,0
332,77.643285,15.0508117,0,0
333,77.64318,15.0508,0,0
334,80.7383417,16.9870117,1,0
335,80.122655,16.6860717,1,0
336,80.1227167,16.6854483,1,0
337,83.5923366,18.8081933,13,0
338,79.8235817,14.1520833,0,0
339,79.8231133,14.15205,0,0
340,79.8231333,14.1511467,0,0
341,79.823125,14.1512383,0,0
342,83.6043483,18.7553883,13,0
343,79.5608667,14.4783683,0,0
344,80.1283333,16.5737083,0,0
345,80.1282283,16.5735667,0,0
346,80.1313167,16.5787667,0,0
347,80.1215917,16.6869967,1,0
348,80.1216383,16.6880517,1,0
349,80.1185267,16.687935,1,0
350,79.5557667,14.4034633,0,0
351,78.2652133,13.6602617,0,0
352,78.2481967,13.7659583,0,0
353,78.1364983,13.7597567,0,0
354,78.1650917,13.6848967,0,0
355,83.248005,18.3327167,13,0
356,78.7070933,13.2579067,0,0
357,82.2454517,16.7417483,4,0
358,78.7077667,13.25969,0,0
359,78.706485,13.2629533,0,0
360,78.7056883,13.26046,0,0
361,79.554185,14.4652183,0,0
362,78.7048383,13.25937,0,0
363,80.1214417,16.6258717,1,0
364,80.2033,16.7402983,1,0
365,77.8820533,15.04663,0,0
366,82.2553883,16.7290067,4,0
367,78.6869483,14.8450183,0,0
368,82.2551067,16.7293217,4,0
369,80.2075,16.7827517,1,0
370,82.2551583,16.7292283,4,0
371,83.268125,18.38409,13,0
372,83.238595,18.37406,13,0
373,83.238665,18.3740667,13,0
374,83.2403833,18.383725,13,0
375,83.2007083,18.3837883,12,0
376,83.2339533,18.37264,13,0
377,83.20183,18.38292,12,0
378,83.2322133,18.398235,12,0
379,83.2405017,18.3837533,13,0
380,82.2641133,16.77736,5,0
381,82.2531233,16.7910183,5,0
382,80.1284617,16.2523633,0,0
383,82.2303733,16.7883383,5,0
384,82.23159,16.7884867,5,0
385,82.243365,16.751265,4,0
386,78.7278483,14.6492783,0,0
387,78.6555283,14.6567533,0,0
388,78.6444967,14.728285,0,0
389,78.6969017,14.840665,0,0
390,78.78389,14.6407533,0,0
391,78.7689583,14.648995,0,0
392,78.6813767,14.877695,0,0
393,78.65555,14.656745,0,0
394,78.6955417,14.6333933,0,0
395,78.6947583,14.66069,0,0
396,78.769845,14.65669,0,0
397,78.7679217,14.648915,0,0
398,78.6956867,14.6982617,0,0
399,78.69197,14.6875017,0,0
400,82.248855,16.80373,5,0
401,82.249825,16.8053883,5,0
402,78.6960933,14.6941483,0,0
403,83.39352,18.4918783,13,0
404,83.4055049,18.079495,13,0
405,83.4045483,18.0804816,13,0
406,83.429595,18.0977283,13,0
407,78.5079833,13.3785867,0,0
408,83.4020116,18.1535699,13,0
409,78.39691,13.3923883,0,0
410,80.7691333,16.4369,1,0
411,78.4089833,13.3938217,0,0
412,83.4009133,18.1539066,13,0
413,78.50803,13.37862,0,0
414,78.3969267,13.39239,0,0
415,80.799305,16.4305233,1,0
416,83.3998733,18.1541233,13,0
417,83.4001949,18.1543483,13,0
418,83.4314333,18.0901383,13,0
419,80.7795533,16.4395633,1,0
420,82.4985717,18.3555267,12,0
421,82.0079683,16.6042333,4,0
422,82.5001717,18.3886383,12,0
423,80.4131683,16.5666283,1,0
424,83.16126,17.9291217,13,0
425,83.3269817,17.9892517,13,0
426,83.2199,17.9800483,13,0
427,83.2425766,17.9956883,13,0
428,83.2210017,17.9794283,13,0
429,83.2395983,17.9951916,13,0
430,83.0607133,17.98494,13,0
431,83.06076,17.9849083,13,0
432,83.0549083,17.972525,13,0
433,83.0438833,17.9682233,13,0
434,83.0215583,17.99294,13,0
435,83.162195,17.9281933,13,0
436,83.1629067,17.9278117,13,0
437,83.1634617,17.9272567,13,0
438,83.220795,17.9793917,13,0
439,83.21895,18.045385,13,0
440,83.21905,18.045395,13,0
441,83.2219433,18.0457349,13,0
442,83.1335267,18.0369017,13,0
443,83.1330283,18.0398217,13,0
444,83.2017066,18.0615816,13,0
445,83.2008433,18.06348,13,0
446,83.191925,18.07179,13,0
447,83.1914583,18.0702866,13,0
448,83.1905383,18.0702516,13,0
449,83.1883033,18.0948766,13,0
